book_id,t_book_id,book_title,lang,book_source,country,tags,判定A_日本オリジナルタグ,判定B_t_book_id_14000,判定C_lang_ja,判定D_国タグ日本,タグで日本オリジナル,ID形式で日本向け,日本語版,撮影地が日本
68be3a3da32ea7a05705bebd,140000000000000323,ファッション女王の帰還,ja,1,,悪女ヒロイン,○,○,○,×,True,True,True,False
683fc11cd058c8ed04037e48,140000000000000247,嫌いだった、あの夏の人,ja,1,アメリカ合衆国,女性向けのドラマ|ヤングアダルト|モダン|敵から恋人へ|隠された気持ち|初恋|運動選手,○,○,○,×,True,True,True,False
685e0488f50af212e70d471c,140000000000000266,マザー・リベンジ 怒れる戦士の逆襲,ja,1,アメリカ合衆国,悪女ヒロイン,○,○,○,×,True,True,True,False
665e319689ff5605bd06cf6b,140000000000000005,昏睡の夫と妻、 500万ドルの約束と命を賭けた愛,ja,1,アメリカ合衆国,結婚後の恋愛|契約の恋人|復讐|億万長者|無邪気な乙女|コンテンポラリー|スイート|女性向けのドラマ|Samantha Drews|Roman Chsherbakov,○,○,○,×,True,True,True,False
665e381412ba0b4dd40fa20b,140000000000000008,秘密の億万長者の子供と離婚するな,ja,1,アメリカ合衆国,離婚後の愛|三角関係|身分を隠せ|億万長者|相続人/社会人|コンテンポラリー|悪女ヒロイン|女性向けのドラマ|John William DiCaro|Freddy Piazza|Candace Mizga,○,○,○,×,True,True,True,False
67ea0b434d172962ba0bc029,140000000000000200,私と継母の戦争,ja,1,アメリカ合衆国,女性向けのドラマ|悪女ヒロイン|モダン|人違い|浮気|復讐|相続人/社会人|聖なる親族,○,○,○,×,True,True,True,False
68085ab75a1ca0470205e2dc,140000000000000216,逃げた花婿,ja,1,アメリカ合衆国,女性向けのドラマ|スイート|モダン|結婚後の恋愛|契約の恋人|守る夫|ストロングウィル,○,○,○,×,True,True,True,False
68197378ff3b4b3d760352f8,140000000000000227,初恋のクォーターバック,ja,1,アメリカ合衆国,女性向けのドラマ|甘いロマンス|モダン|学園ロマンス|再会|運命の恋人|運動選手|学生,○,○,○,×,True,True,True,False
68d61721090aaf7c6204f75f,140000000000000332,スターの夫をやめた日,ja,1,アメリカ合衆国,家族ドラマ,○,○,○,×,True,True,True,False
68fb5b527f3574da960ac057,140000000000000348,うちのパパ、ホームレスで大富豪！？,ja,1,アメリカ合衆国,甘いロマンス,○,○,○,×,True,True,True,False
